2024-09-22 17:55:07 startup archives install
2024-09-22 17:55:07 install base-passwd:armhf <none> 3.6.3build1
2024-09-22 17:55:07 status half-installed base-passwd:armhf 3.6.3build1
2024-09-22 17:55:07 status unpacked base-passwd:armhf 3.6.3build1
2024-09-22 17:55:08 configure base-passwd:armhf 3.6.3build1 3.6.3build1
2024-09-22 17:55:08 status half-configured base-passwd:armhf 3.6.3build1
2024-09-22 17:55:09 status installed base-passwd:armhf 3.6.3build1
2024-09-22 17:55:09 startup archives install
2024-09-22 17:55:10 install base-files:armhf <none> 13ubuntu10
2024-09-22 17:55:10 status half-installed base-files:armhf 13ubuntu10
2024-09-22 17:55:12 status unpacked base-files:armhf 13ubuntu10
2024-09-22 17:55:13 configure base-files:armhf 13ubuntu10 13ubuntu10
2024-09-22 17:55:14 status half-configured base-files:armhf 13ubuntu10
2024-09-22 17:55:17 status installed base-files:armhf 13ubuntu10
2024-09-22 17:55:17 startup archives install
2024-09-22 17:55:18 upgrade dpkg 1.22.6ubuntu6 1.22.6ubuntu6
2024-09-22 17:55:18 status half-configured dpkg 1.22.6ubuntu6
2024-09-22 17:55:18 status unpacked dpkg 1.22.6ubuntu6
2024-09-22 17:55:18 status half-installed dpkg 1.22.6ubuntu6
2024-09-22 17:55:19 status unpacked dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:19 configure dpkg:armhf 1.22.6ubuntu6 1.22.6ubuntu6
2024-09-22 17:55:20 status half-configured dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:21 status installed dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:22 startup archives install
2024-09-22 17:55:22 install libc6:armhf <none> 2.39-0ubuntu8
2024-09-22 17:55:22 status half-installed libc6:armhf 2.39-0ubuntu8
2024-09-22 17:55:25 status unpacked libc6:armhf 2.39-0ubuntu8
2024-09-22 17:55:25 configure libc6:armhf 2.39-0ubuntu8 2.39-0ubuntu8
2024-09-22 17:55:25 status half-configured libc6:armhf 2.39-0ubuntu8
2024-09-22 17:55:26 status installed libc6:armhf 2.39-0ubuntu8
2024-09-22 17:55:26 startup archives install
2024-09-22 17:55:27 install perl-base:armhf <none> 5.38.2-3.2build2
2024-09-22 17:55:27 status half-installed perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:55:29 status unpacked perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:55:29 configure perl-base:armhf 5.38.2-3.2build2 5.38.2-3.2build2
2024-09-22 17:55:29 status half-configured perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:55:30 status installed perl-base:armhf 5.38.2-3.2build2
2024-09-22 17:55:30 startup archives install
2024-09-22 17:55:31 install mawk:armhf <none> 1.3.4.20240123-1build1
2024-09-22 17:55:31 status half-installed mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:55:31 status unpacked mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:55:31 configure mawk:armhf 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-09-22 17:55:32 status half-configured mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:55:32 status installed mawk:armhf 1.3.4.20240123-1build1
2024-09-22 17:55:32 startup archives install
2024-09-22 17:55:33 install debconf:all <none> 1.5.86ubuntu1
2024-09-22 17:55:33 status half-installed debconf:all 1.5.86ubuntu1
2024-09-22 17:55:33 status unpacked debconf:all 1.5.86ubuntu1
2024-09-22 17:55:33 configure debconf:all 1.5.86ubuntu1 1.5.86ubuntu1
2024-09-22 17:55:34 status half-configured debconf:all 1.5.86ubuntu1
2024-09-22 17:55:35 status installed debconf:all 1.5.86ubuntu1
2024-09-22 17:55:35 startup archives unpack
2024-09-22 17:55:37 upgrade base-files:armhf 13ubuntu10 13ubuntu10
2024-09-22 17:55:37 status half-configured base-files:armhf 13ubuntu10
2024-09-22 17:55:38 status unpacked base-files:armhf 13ubuntu10
2024-09-22 17:55:38 status half-installed base-files:armhf 13ubuntu10
2024-09-22 17:55:39 status unpacked base-files:armhf 13ubuntu10
2024-09-22 17:55:40 upgrade base-passwd:armhf 3.6.3build1 3.6.3build1
2024-09-22 17:55:40 status half-configured base-passwd:armhf 3.6.3build1
2024-09-22 17:55:40 status unpacked base-passwd:armhf 3.6.3build1
2024-09-22 17:55:40 status half-installed base-passwd:armhf 3.6.3build1
2024-09-22 17:55:40 status unpacked base-passwd:armhf 3.6.3build1
2024-09-22 17:55:41 install bash:armhf <none> 5.2.21-2ubuntu4
2024-09-22 17:55:41 status half-installed bash:armhf 5.2.21-2ubuntu4
2024-09-22 17:55:42 status unpacked bash:armhf 5.2.21-2ubuntu4
2024-09-22 17:55:43 install bsdutils:armhf <none> 1:2.39.3-9ubuntu6
2024-09-22 17:55:43 status half-installed bsdutils:armhf 1:2.39.3-9ubuntu6
2024-09-22 17:55:43 status unpacked bsdutils:armhf 1:2.39.3-9ubuntu6
2024-09-22 17:55:43 install coreutils:armhf <none> 9.4-3ubuntu6
2024-09-22 17:55:43 status half-installed coreutils:armhf 9.4-3ubuntu6
2024-09-22 17:55:45 status unpacked coreutils:armhf 9.4-3ubuntu6
2024-09-22 17:55:45 install dash:armhf <none> 0.5.12-6ubuntu5
2024-09-22 17:55:45 status half-installed dash:armhf 0.5.12-6ubuntu5
2024-09-22 17:55:46 status unpacked dash:armhf 0.5.12-6ubuntu5
2024-09-22 17:55:46 upgrade debconf:all 1.5.86ubuntu1 1.5.86ubuntu1
2024-09-22 17:55:46 status half-configured debconf:all 1.5.86ubuntu1
2024-09-22 17:55:46 status unpacked debconf:all 1.5.86ubuntu1
2024-09-22 17:55:46 status half-installed debconf:all 1.5.86ubuntu1
2024-09-22 17:55:47 status unpacked debconf:all 1.5.86ubuntu1
2024-09-22 17:55:47 install debianutils:armhf <none> 5.17build1
2024-09-22 17:55:47 status half-installed debianutils:armhf 5.17build1
2024-09-22 17:55:48 status unpacked debianutils:armhf 5.17build1
2024-09-22 17:55:48 install diffutils:armhf <none> 1:3.10-1build1
2024-09-22 17:55:48 status half-installed diffutils:armhf 1:3.10-1build1
2024-09-22 17:55:48 status unpacked diffutils:armhf 1:3.10-1build1
2024-09-22 17:55:49 upgrade dpkg:armhf 1.22.6ubuntu6 1.22.6ubuntu6
2024-09-22 17:55:49 status half-configured dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:49 status unpacked dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:49 status half-installed dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:50 status unpacked dpkg:armhf 1.22.6ubuntu6
2024-09-22 17:55:51 install e2fsprogs:armhf <none> 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:55:51 status half-installed e2fsprogs:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:55:52 status unpacked e2fsprogs:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:55:52 install findutils:armhf <none> 4.9.0-5build1
2024-09-22 17:55:52 status half-installed findutils:armhf 4.9.0-5build1
2024-09-22 17:55:52 status unpacked findutils:armhf 4.9.0-5build1
2024-09-22 17:55:53 install gcc-14-base:armhf <none> 14-20240412-0ubuntu1
2024-09-22 17:55:53 status half-installed gcc-14-base:armhf 14-20240412-0ubuntu1
2024-09-22 17:55:53 status unpacked gcc-14-base:armhf 14-20240412-0ubuntu1
2024-09-22 17:55:54 install grep:armhf <none> 3.11-4build1
2024-09-22 17:55:54 status half-installed grep:armhf 3.11-4build1
2024-09-22 17:55:54 status unpacked grep:armhf 3.11-4build1
2024-09-22 17:55:54 install gzip:armhf <none> 1.12-1ubuntu3
2024-09-22 17:55:54 status half-installed gzip:armhf 1.12-1ubuntu3
2024-09-22 17:55:55 status unpacked gzip:armhf 1.12-1ubuntu3
2024-09-22 17:55:56 install hostname:armhf <none> 3.23+nmu2ubuntu2
2024-09-22 17:55:56 status half-installed hostname:armhf 3.23+nmu2ubuntu2
2024-09-22 17:55:56 status unpacked hostname:armhf 3.23+nmu2ubuntu2
2024-09-22 17:55:56 install init-system-helpers:all <none> 1.66ubuntu1
2024-09-22 17:55:56 status half-installed init-system-helpers:all 1.66ubuntu1
2024-09-22 17:55:56 status unpacked init-system-helpers:all 1.66ubuntu1
2024-09-22 17:55:57 install libacl1:armhf <none> 2.3.2-1build1
2024-09-22 17:55:57 status half-installed libacl1:armhf 2.3.2-1build1
2024-09-22 17:55:57 status unpacked libacl1:armhf 2.3.2-1build1
2024-09-22 17:55:58 install libattr1:armhf <none> 1:2.5.2-1build1
2024-09-22 17:55:58 status half-installed libattr1:armhf 1:2.5.2-1build1
2024-09-22 17:55:58 status unpacked libattr1:armhf 1:2.5.2-1build1
2024-09-22 17:55:59 install libaudit-common:all <none> 1:3.1.2-2.1build1
2024-09-22 17:55:59 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2024-09-22 17:55:59 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-09-22 17:55:59 install libaudit1:armhf <none> 1:3.1.2-2.1build1
2024-09-22 17:55:59 status half-installed libaudit1:armhf 1:3.1.2-2.1build1
2024-09-22 17:56:00 status unpacked libaudit1:armhf 1:3.1.2-2.1build1
2024-09-22 17:56:00 install libblkid1:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:56:00 status half-installed libblkid1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:01 status unpacked libblkid1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:01 install libbz2-1.0:armhf <none> 1.0.8-5.1
2024-09-22 17:56:01 status half-installed libbz2-1.0:armhf 1.0.8-5.1
2024-09-22 17:56:01 status unpacked libbz2-1.0:armhf 1.0.8-5.1
2024-09-22 17:56:02 install libc-bin:armhf <none> 2.39-0ubuntu8
2024-09-22 17:56:02 status half-installed libc-bin:armhf 2.39-0ubuntu8
2024-09-22 17:56:02 status unpacked libc-bin:armhf 2.39-0ubuntu8
2024-09-22 17:56:03 upgrade libc6:armhf 2.39-0ubuntu8 2.39-0ubuntu8
2024-09-22 17:56:03 status half-configured libc6:armhf 2.39-0ubuntu8
2024-09-22 17:56:03 status unpacked libc6:armhf 2.39-0ubuntu8
2024-09-22 17:56:03 status half-installed libc6:armhf 2.39-0ubuntu8
2024-09-22 17:56:06 status unpacked libc6:armhf 2.39-0ubuntu8
2024-09-22 17:56:07 install libcap-ng0:armhf <none> 0.8.4-2build2
2024-09-22 17:56:07 status half-installed libcap-ng0:armhf 0.8.4-2build2
2024-09-22 17:56:07 status unpacked libcap-ng0:armhf 0.8.4-2build2
2024-09-22 17:56:07 install libcap2:armhf <none> 1:2.66-5ubuntu2
2024-09-22 17:56:07 status half-installed libcap2:armhf 1:2.66-5ubuntu2
2024-09-22 17:56:08 status unpacked libcap2:armhf 1:2.66-5ubuntu2
2024-09-22 17:56:08 install libcom-err2:armhf <none> 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:08 status half-installed libcom-err2:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:08 status unpacked libcom-err2:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:09 install libcrypt1:armhf <none> 1:4.4.36-4build1
2024-09-22 17:56:09 status half-installed libcrypt1:armhf 1:4.4.36-4build1
2024-09-22 17:56:09 status unpacked libcrypt1:armhf 1:4.4.36-4build1
2024-09-22 17:56:10 install libdebconfclient0:armhf <none> 0.271ubuntu3
2024-09-22 17:56:10 status half-installed libdebconfclient0:armhf 0.271ubuntu3
2024-09-22 17:56:11 status unpacked libdebconfclient0:armhf 0.271ubuntu3
2024-09-22 17:56:11 install libext2fs2t64:armhf <none> 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:11 status half-installed libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:12 status unpacked libext2fs2t64:armhf 1.47.0-2.4~exp1ubuntu4
2024-09-22 17:56:13 install libgcc-s1:armhf <none> 14-20240412-0ubuntu1
2024-09-22 17:56:13 status half-installed libgcc-s1:armhf 14-20240412-0ubuntu1
2024-09-22 17:56:13 status unpacked libgcc-s1:armhf 14-20240412-0ubuntu1
2024-09-22 17:56:14 install libgcrypt20:armhf <none> 1.10.3-2build1
2024-09-22 17:56:14 status half-installed libgcrypt20:armhf 1.10.3-2build1
2024-09-22 17:56:14 status unpacked libgcrypt20:armhf 1.10.3-2build1
2024-09-22 17:56:15 install libgmp10:armhf <none> 2:6.3.0+dfsg-2ubuntu6
2024-09-22 17:56:15 status half-installed libgmp10:armhf 2:6.3.0+dfsg-2ubuntu6
2024-09-22 17:56:15 status unpacked libgmp10:armhf 2:6.3.0+dfsg-2ubuntu6
2024-09-22 17:56:16 install libgpg-error0:armhf <none> 1.47-3build2
2024-09-22 17:56:16 status half-installed libgpg-error0:armhf 1.47-3build2
2024-09-22 17:56:17 status unpacked libgpg-error0:armhf 1.47-3build2
2024-09-22 17:56:18 install liblz4-1:armhf <none> 1.9.4-1build1
2024-09-22 17:56:18 status half-installed liblz4-1:armhf 1.9.4-1build1
2024-09-22 17:56:18 status unpacked liblz4-1:armhf 1.9.4-1build1
2024-09-22 17:56:19 install liblzma5:armhf <none> 5.6.1+really5.4.5-1
2024-09-22 17:56:19 status half-installed liblzma5:armhf 5.6.1+really5.4.5-1
2024-09-22 17:56:19 status unpacked liblzma5:armhf 5.6.1+really5.4.5-1
2024-09-22 17:56:20 install libmd0:armhf <none> 1.1.0-2build1
2024-09-22 17:56:20 status half-installed libmd0:armhf 1.1.0-2build1
2024-09-22 17:56:20 status unpacked libmd0:armhf 1.1.0-2build1
2024-09-22 17:56:20 install libmount1:armhf <none> 2.39.3-9ubuntu6
2024-09-22 17:56:20 status half-installed libmount1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:21 status unpacked libmount1:armhf 2.39.3-9ubuntu6
2024-09-22 17:56:22 install libncursesw6:armhf <none> 6.4+20240113-1ubuntu2
2024-09-22 17:56:22 status half-installed libncursesw6:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:22 status unpacked libncursesw6:armhf 6.4+20240113-1ubuntu2
2024-09-22 17:56:23 install libpam-modules:armhf <none> 1.5.3-5ubuntu5
2024-09-22 17:56:23 status half-installed libpam-modules:armhf 1.5.3-5ubuntu5
2024-09-22 17:56:24 status unpacked libpam-modules:armhf 1.5.3-5ubuntu5
2024-09-22 17:56:25 install libpam-modules-bin:armhf <none> 1.5.3-5ubuntu5
2024-09-22 17:56:25 status half-installed libpam-modules-bin:armhf 1.5.3-5ubuntu5
2024-09-22 17:56:25 status unpacked libpam-modules-bin:armhf 1.5.3-5ubuntu5
2024-09-22 17:56:26 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-09-22 17:56:26 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2024-09-22 17:56:26 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-09-22 17:56:27 install libpam0g:armhf <none> 1.5.3-5ubuntu5
